id,year,date,winner,result,win_by_runs,win_by_wickets,player_of_match,team1,team2,toss_winner,toss_decision,umpire1,umpire2,venue
1384,2015,2015-03-01,Pakistan,normal,20,,Wahab Riaz,Pakistan,Zimbabwe,Pakistan,bat,RA Kettleborough,JS Wilson,"Brisbane Cricket Ground, Woolloongabba"
1385,2015,2015-03-03,South Africa,normal,201,,HM Amla,Ireland,South Africa,South Africa,bat,SJ Davis,REJ Martinesz,Manuka Oval
1386,2015,2015-03-04,Pakistan,normal,129,,Ahmed Shehzad,Pakistan,United Arab Emirates,United Arab Emirates,field,JD Cloete,S Ravi,McLean Park
1387,2015,2015-03-04,Australia,normal,275,,DA Warner,Australia,Afghanistan,Afghanistan,field,HDPK Dharmasena,MA Gough,Western Australia Cricket Association Ground
1388,2015,2015-03-05,Bangladesh,normal,,6,KJ Coetzer,Bangladesh,Scotland,Bangladesh,field,SD Fry,BNJ Oxenford,Saxton Oval
1389,2015,2015-03-06,India,normal,,4,Mohammed Shami,India,West Indies,West Indies,bat,HDPK Dharmasena,NJ Llong,Western Australia Cricket Association Ground
1390,2015,2015-03-07,Pakistan,normal,29,,Sarfraz Ahmed,Pakistan,South Africa,South Africa,field,RA Kettleborough,BNJ Oxenford,Eden Park
1391,2015,2015-03-07,Ireland,normal,5,,EC Joyce,Ireland,Zimbabwe,Zimbabwe,field,RSA Palliyaguruge,PR Reiffel,Bellerive Oval
1392,2015,2015-03-08,New Zealand,normal,,6,DL Vettori,New Zealand,Afghanistan,Afghanistan,bat,JD Cloete,M Erasmus,McLean Park
1393,2015,2015-03-08,Australia,normal,64,,GJ Maxwell,Australia,Sri Lanka,Australia,bat,Aleem Dar,IJ Gould,Sydney Cricket Ground
1394,2015,2015-03-09,Bangladesh,normal,15,,Mahmudullah,Bangladesh,England,England,field,BF Bowden,PR Reiffel,Adelaide Oval
1395,2015,2015-03-10,India,normal,,8,S Dhawan,India,Ireland,Ireland,bat,HDPK Dharmasena,RA Kettleborough,Seddon Park
1396,2015,2015-03-11,Sri Lanka,normal,148,,KC Sangakkara,Scotland,Sri Lanka,Sri Lanka,bat,RK Illingworth,JS Wilson,Bellerive Oval
1397,2015,2015-03-12,South Africa,normal,146,,AB de Villiers,South Africa,United Arab Emirates,United Arab Emirates,field,SJ Davis,RJ Tucker,Westpac Stadium
