id,year,date,winner,result,win_by_runs,win_by_wickets,player_of_match,team1,team2,toss_winner,toss_decision,umpire1,umpire2,venue
372,2019,2019-10-09,India,normal,,8,PS Punia,India,South Africa,South Africa,bat,HAS Khalid,GR Sadashiv Iyer,Reliance Stadium
373,2019,2019-10-11,India,normal,,5,PG Raut,India,South Africa,India,field,HAS Khalid,GR Sadashiv Iyer,Reliance Stadium
374,2019,2019-10-14,India,normal,6,,E Bisht,India,South Africa,India,bat,HAS Khalid,GR Sadashiv Iyer,Reliance Stadium
375,2019,2019-11-03,India,normal,53,,PG Raut,West Indies,India,India,bat,PA Gustard,Zahid Bassarath,"Sir Vivian Richards Stadium, Antigua"
376,2019,2019-11-06,India,normal,,6,S Mandhana,West Indies,India,West Indies,bat,JM Williams,Zahid Bassarath,"Sir Vivian Richards Stadium, Antigua"
377,2020,2020-01-07,West Indies,normal,,5,AS Joseph,West Indies,Ireland,Ireland,bat,JS Wilson,RSA Palliyaguruge,"Kensington Oval, Barbados"
378,2020,2020-01-09,West Indies,normal,,1,AS Joseph,West Indies,Ireland,Ireland,bat,JS Wilson,RK Illingworth,"Kensington Oval, Barbados"
379,2020,2020-01-12,West Indies,normal,,5,E Lewis,West Indies,Ireland,West Indies,field,GO Brathwaite,RSA Palliyaguruge,"National Cricket Stadium, Grenada"
380,2019,2019-12-08,United States of America,normal,,3,Aaron Jones,United Arab Emirates,United States of America,United Arab Emirates,bat,Ahsan Raza,Shiju Sam,Sharjah Cricket Stadium
381,2019,2019-12-09,United States of America,normal,35,,MD Patel,Scotland,United States of America,United States of America,bat,Iftikhar Ali,Shiju Sam,Sharjah Cricket Stadium
382,2019,2019-12-12,United States of America,normal,98,,SN Netravalkar,United Arab Emirates,United States of America,United Arab Emirates,field,Iftikhar Ali,Ahsan Raza,ICC Academy
383,2019,2019-12-14,Scotland,normal,,4,JH Davey,Scotland,United States of America,Scotland,field,Iftikhar Ali,Shiju Sam,ICC Academy
384,2019,2019-12-15,United Arab Emirates,normal,,7,Basil Hameed,United Arab Emirates,Scotland,United Arab Emirates,field,Iftikhar Ali,Ahsan Raza,ICC Academy
385,2019,2019-12-09,England,normal,75,,DN Wyatt,England,Pakistan,England,bat,Asif Yaqoob,Rashid Riaz,Kinrara Academy Oval
386,2019,2019-12-12,England,normal,127,,HC Knight,England,Pakistan,England,bat,Asif Yaqoob,Rashid Riaz,Kinrara Academy Oval
387,2019,2019-12-14,NA,no result,,,NA,England,Pakistan,England,field,Asif Yaqoob,Rashid Riaz,Kinrara Academy Oval
388,2020,2020-01-05,Oman,normal,,5,Aqib Ilyas,Oman,United Arab Emirates,Oman,field,Rahul Asher,LE Hannibal,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)
389,2020,2020-01-06,United Arab Emirates,normal,8,,Rohan Mustafa,Namibia,United Arab Emirates,Namibia,field,Rahul Asher,Vinod Babu,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)
390,2020,2020-01-08,Namibia,normal,52,,CG Williams,Oman,Namibia,Namibia,bat,Harikrishna Pillai,LE Hannibal,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)
391,2020,2020-01-09,United Arab Emirates,normal,,8,Ahmed Raza,Namibia,United Arab Emirates,Namibia,bat,Harikrishna Pillai,Rahul Asher,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)
392,2020,2020-02-22,Sri Lanka,normal,,1,PWH de Silva,Sri Lanka,West Indies,Sri Lanka,field,P Wilson,RSA Palliyaguruge,Sinhalese Sports Club Ground
393,2020,2020-02-26,Sri Lanka,normal,161,,WIA Fernando,Sri Lanka,West Indies,West Indies,field,LE Hannibal,M Erasmus,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
394,2020,2020-03-01,Sri Lanka,normal,6,,AD Mathews,Sri Lanka,West Indies,Sri Lanka,bat,P Wilson,RR Wimalasiri,Pallekele International Cricket Stadium
395,2020,2020-03-01,Bangladesh,normal,169,,Liton Das,Bangladesh,Zimbabwe,Bangladesh,bat,HDPK Dharmasena,Masudur Rahman,Sylhet International Cricket Stadium
396,2020,2020-03-03,Bangladesh,normal,4,,Tamim Iqbal,Bangladesh,Zimbabwe,Bangladesh,bat,Masudur Rahman,PR Reiffel,Sylhet International Cricket Stadium
397,2020,2020-03-06,Bangladesh,normal,123,,Liton Das,Bangladesh,Zimbabwe,Zimbabwe,field,Sharfuddoula,HDPK Dharmasena,Sylhet International Cricket Stadium
398,2020,2020-02-05,Oman,normal,18,,Mohammad Nadeem,Nepal,Oman,Nepal,field,C Shamshuddin,BB Pradhan,Tribhuvan University International Cricket Ground
399,2020,2020-02-06,Oman,normal,,6,Mohammad Nadeem,Oman,United States of America,Oman,field,DN Subedi,BB Pradhan,Tribhuvan University International Cricket Ground
400,2020,2020-02-08,Nepal,normal,35,,Karan KC,Nepal,United States of America,United States of America,field,C Shamshuddin,BB Pradhan,Tribhuvan University International Cricket Ground
401,2020,2020-02-09,Oman,normal,,8,Aqib Ilyas,Nepal,Oman,Oman,field,C Shamshuddin,DN Subedi,Tribhuvan University International Cricket Ground
402,2020,2020-02-11,Oman,normal,92,,Aqib Ilyas,Oman,United States of America,United States of America,field,DN Subedi,BB Pradhan,Tribhuvan University International Cricket Ground
403,2020,2020-02-12,Nepal,normal,,8,S Lamichhane,Nepal,United States of America,Nepal,field,C Shamshuddin,DN Subedi,Tribhuvan University International Cricket Ground
404,2006,2006-06-13,England,normal,38,,ME Trescothick,Ireland,England,England,bat,R Dill,DB Hair,"Civil Service Cricket Club, Stormont"
405,2006,2006-08-30,NA,no result,,,NA,England,Pakistan,Pakistan,field,BR Doctrove,IJ Gould,Sophia Gardens
406,2006,2006-09-02,Pakistan,normal,,7,Shoaib Akhtar,England,Pakistan,Pakistan,field,MR Benson,BR Doctrove,Lord's
407,2006,2006-09-05,Pakistan,normal,,2,Younis Khan,England,Pakistan,Pakistan,field,BR Doctrove,NJ Llong,The Rose Bowl
408,2006,2006-09-08,England,normal,,8,IR Bell,England,Pakistan,Pakistan,bat,MR Benson,DJ Harper,Trent Bridge
409,2006,2006-09-10,England,normal,,3,SI Mahmood,England,Pakistan,England,field,IJ Gould,DJ Harper,Edgbaston
410,2006,2006-06-17,Sri Lanka,normal,20,,WU Tharanga,England,Sri Lanka,England,field,DB Hair,NJ Llong,Lord's
411,2006,2006-06-20,Sri Lanka,normal,46,,ST Jayasuriya,England,Sri Lanka,Sri Lanka,bat,IJ Gould,DB Hair,Kennington Oval
412,2006,2006-06-24,Sri Lanka,normal,,8,DPMD Jayawardene,England,Sri Lanka,England,bat,MR Benson,BR Doctrove,Riverside Ground
413,2006,2006-06-28,Sri Lanka,normal,33,,DPMD Jayawardene,England,Sri Lanka,Sri Lanka,bat,BR Doctrove,NJ Llong,Old Trafford
414,2006,2006-07-01,Sri Lanka,normal,,8,ST Jayasuriya,England,Sri Lanka,England,bat,MR Benson,BR Doctrove,Headingley
415,2006,2006-01-15,South Africa,normal,,5,SM Pollock,Australia,South Africa,Australia,bat,Aleem Dar,SJA Taufel,"Brisbane Cricket Ground, Woolloongabba"
416,2006,2006-01-20,Australia,normal,59,,B Lee,Australia,South Africa,Australia,bat,MR Benson,DJ Harper,Docklands Stadium
417,2006,2006-02-03,Australia,normal,80,,MEK Hussey,Australia,South Africa,Australia,bat,Aleem Dar,PD Parker,Docklands Stadium
418,2006,2006-02-05,Australia,normal,57,,AC Gilchrist,Australia,South Africa,Australia,bat,Aleem Dar,PD Parker,Sydney Cricket Ground
419,2006,2006-01-22,Sri Lanka,normal,51,,ST Jayasuriya,Australia,Sri Lanka,Sri Lanka,bat,MR Benson,SJ Davis,Sydney Cricket Ground
420,2006,2006-01-26,Australia,normal,,5,A Symonds,Australia,Sri Lanka,Sri Lanka,bat,Aleem Dar,SJ Davis,Adelaide Oval
421,2006,2006-01-29,Australia,normal,,6,AC Gilchrist,Australia,Sri Lanka,Sri Lanka,bat,MR Benson,PD Parker,Western Australia Cricket Association Ground
422,2006,2006-01-17,Sri Lanka,normal,94,,KC Sangakkara,South Africa,Sri Lanka,South Africa,field,Aleem Dar,DJ Harper,"Brisbane Cricket Ground, Woolloongabba"
423,2006,2006-01-24,South Africa,normal,9,,HH Dippenaar,South Africa,Sri Lanka,South Africa,bat,Aleem Dar,DJ Harper,Adelaide Oval
424,2006,2006-01-31,South Africa,normal,,5,GC Smith,South Africa,Sri Lanka,Sri Lanka,bat,MR Benson,PD Parker,Western Australia Cricket Association Ground
425,2006,2006-02-07,Sri Lanka,normal,76,,HMCM Bandara,South Africa,Sri Lanka,Sri Lanka,bat,MR Benson,DJ Harper,Bellerive Oval
426,2006,2006-01-03,New Zealand,normal,,5,WU Tharanga,New Zealand,Sri Lanka,New Zealand,field,GAV Baxter,DB Hair,Jade Stadium
427,2006,2006-01-06,New Zealand,normal,21,,JS Patel,New Zealand,Sri Lanka,New Zealand,bat,DB Hair,AL Hill,Westpac Stadium
428,2006,2006-02-06,Pakistan,normal,7,,Salman Butt,Pakistan,India,Pakistan,field,Asad Rauf,SJA Taufel,Arbab Niaz Stadium
429,2006,2006-02-10,Sri Lanka,normal,22,,KC Sangakkara,Australia,Sri Lanka,Sri Lanka,bat,Aleem Dar,DJ Harper,Adelaide Oval
430,2006,2006-02-11,India,normal,,7,IK Pathan,Pakistan,India,Pakistan,bat,Asad Rauf,SJA Taufel,Rawalpindi Cricket Stadium
431,2006,2006-02-12,Australia,normal,167,,A Symonds,Australia,Sri Lanka,Australia,bat,MR Benson,PD Parker,Sydney Cricket Ground
432,2006,2006-02-13,India,normal,,5,MS Dhoni,Pakistan,India,India,field,Asad Rauf,SJA Taufel,Gaddafi Stadium
433,2006,2006-02-14,Australia,normal,,9,AC Gilchrist,Australia,Sri Lanka,Sri Lanka,bat,Aleem Dar,DJ Harper,"Brisbane Cricket Ground, Woolloongabba"
434,2006,2006-02-16,India,normal,,5,RP Singh,Pakistan,India,India,field,Asad Rauf,SA Bucknor,Multan Cricket Stadium
435,2006,2006-02-18,New Zealand,normal,81,,NJ Astle,New Zealand,West Indies,New Zealand,bat,AL Hill,RE Koertzen,Westpac Stadium
436,2006,2006-02-19,India,normal,,8,Yuvraj Singh,Pakistan,India,India,field,Aleem Dar,SA Bucknor,National Stadium
437,2006,2006-02-20,Sri Lanka,normal,,5,PDRL Perera,Bangladesh,Sri Lanka,Bangladesh,bat,K Hariharan,Mahbubur Rahman,Shaheed Chandu Stadium
438,2006,2006-02-22,Bangladesh,normal,,4,Aftab Ahmed,Bangladesh,Sri Lanka,Bangladesh,field,K Hariharan,Mahbubur Rahman,Shaheed Chandu Stadium
439,2006,2006-02-25,Sri Lanka,normal,78,,KC Sangakkara,Bangladesh,Sri Lanka,Bangladesh,field,AFM Akhtaruddin,K Hariharan,Chittagong Divisional Stadium
440,2006,2006-04-23,Australia,normal,,4,AC Gilchrist,Bangladesh,Australia,Bangladesh,bat,IL Howell,Mahbubur Rahman,Chittagong Divisional Stadium
441,2006,2006-04-26,Australia,normal,67,,A Symonds,Bangladesh,Australia,Australia,bat,AFM Akhtaruddin,IL Howell,Narayanganj Osmani Stadium
442,2006,2006-04-28,Australia,normal,,9,MJ Cosgrove,Bangladesh,Australia,Bangladesh,bat,IL Howell,Nadir Shah,Narayanganj Osmani Stadium
443,2006,2006-02-22,New Zealand,normal,,3,DL Vettori,New Zealand,West Indies,New Zealand,field,BF Bowden,RE Koertzen,Queenstown Events Centre
444,2006,2006-02-25,New Zealand,normal,21,,NJ Astle,New Zealand,West Indies,New Zealand,bat,BF Bowden,RE Koertzen,Jade Stadium
445,2006,2006-03-01,New Zealand,normal,91,,L Vincent,New Zealand,West Indies,West Indies,field,BF Bowden,RE Koertzen,McLean Park
446,2006,2006-03-04,West Indies,normal,,3,DR Smith,New Zealand,West Indies,New Zealand,bat,DJ Harper,AL Hill,Eden Park
447,2006,2006-03-28,India,normal,39,,Harbhajan Singh,India,England,England,field,Asad Rauf,AV Jayaprakash,Feroz Shah Kotla
448,2006,2006-03-31,India,normal,,4,SK Raina,India,England,England,bat,Asad Rauf,AV Jayaprakash,Nahar Singh Stadium
449,2006,2006-04-03,India,normal,49,,Yuvraj Singh,India,England,India,bat,Asad Rauf,K Hariharan,"Nehru Stadium, Fatorda"
450,2006,2006-04-12,England,normal,,5,AJ Strauss,India,England,India,bat,K Hariharan,RE Koertzen,Keenan Stadium
451,2006,2006-04-15,India,normal,,7,S Sreesanth,India,England,India,field,AV Jayaprakash,RE Koertzen,Maharani Usharaje Trust Cricket Ground
452,2006,2006-02-26,South Africa,normal,,6,GC Smith,South Africa,Australia,Australia,bat,BG Jerling,JW Lloyds,SuperSport Park
453,2006,2006-03-03,South Africa,normal,196,,M Ntini,South Africa,Australia,South Africa,bat,KH Hurter,JW Lloyds,Newlands
454,2006,2006-03-05,Australia,normal,24,,B Lee,South Africa,Australia,South Africa,field,BG Jerling,JW Lloyds,St George's Park
455,2006,2006-03-10,Australia,normal,,1,HH Dippenaar,South Africa,Australia,South Africa,bat,KH Hurter,JW Lloyds,Kingsmead
456,2006,2006-03-12,South Africa,normal,,1,HH Gibbs,South Africa,Australia,Australia,bat,Aleem Dar,BG Jerling,New Wanderers Stadium
457,2006,2006-03-17,NA,no result,,,NA,Sri Lanka,Pakistan,Sri Lanka,field,SJ Davis,EAR de Silva,R Premadasa Stadium
458,2006,2006-03-19,Pakistan,normal,,4,Abdul Razzaq,Sri Lanka,Pakistan,Pakistan,field,SJ Davis,TH Wijewardene,R Premadasa Stadium
459,2006,2006-03-22,Pakistan,normal,,4,Shahid Afridi,Sri Lanka,Pakistan,Pakistan,field,SJ Davis,EAR de Silva,Sinhalese Sports Club Ground
460,2006,2006-04-29,West Indies,normal,,5,JE Taylor,West Indies,Zimbabwe,West Indies,field,BF Bowden,BR Doctrove,"Antigua Recreation Ground, St John's"
461,2006,2006-04-30,West Indies,normal,98,,JE Taylor,West Indies,Zimbabwe,West Indies,bat,BF Bowden,SA Bucknor,"Antigua Recreation Ground, St John's"
462,2006,2006-05-10,West Indies,normal,,10,CH Gayle,West Indies,Zimbabwe,Zimbabwe,bat,BF Bowden,BR Doctrove,"Beausejour Stadium, Gros Islet"
463,2006,2006-05-13,NA,no result,,,NA,West Indies,Zimbabwe,West Indies,bat,BF Bowden,SA Bucknor,"Queen's Park Oval, Port of Spain"
464,2006,2006-05-14,West Indies,normal,104,,RR Sarwan,West Indies,Zimbabwe,West Indies,bat,BF Bowden,BR Doctrove,"Queen's Park Oval, Port of Spain"
465,2006,2006-05-20,West Indies,normal,1,,RR Sarwan,West Indies,India,India,field,Asad Rauf,BR Doctrove,"Sabina Park, Kingston"
466,2006,2006-05-23,West Indies,normal,,4,RR Sarwan,West Indies,India,India,bat,Asad Rauf,SA Bucknor,"Warner Park, Basseterre"
467,2006,2006-05-26,West Indies,normal,,6,DJ Bravo,West Indies,India,West Indies,field,BR Doctrove,SJA Taufel,"Queen's Park Oval, Port of Spain"
468,2006,2006-05-28,West Indies,normal,19,,DJ Bravo,West Indies,India,India,field,SA Bucknor,SJA Taufel,"Queen's Park Oval, Port of Spain"
469,2006,2006-04-18,Pakistan,normal,,6,Younis Khan,India,Pakistan,India,bat,BG Jerling,RE Koertzen,Sheikh Zayed Stadium
470,2006,2006-04-19,India,normal,51,,R Dravid,India,Pakistan,India,bat,BG Jerling,RE Koertzen,Sheikh Zayed Stadium
471,2007,2007-03-13,West Indies,normal,54,,DR Smith,West Indies,Pakistan,Pakistan,field,BF Bowden,SJA Taufel,"Sabina Park, Kingston"
472,2007,2007-03-14,Australia,normal,203,,RT Ponting,Australia,Scotland,Scotland,field,SA Bucknor,EAR de Silva,"Warner Park, Basseterre"
473,2007,2007-03-15,Sri Lanka,normal,243,,DPMD Jayawardene,Bermuda,Sri Lanka,Sri Lanka,bat,DJ Harper,IL Howell,"Queen's Park Oval, Port of Spain"
474,2007,2007-03-15,NA,tie,,,JP Bray,Ireland,Zimbabwe,Zimbabwe,field,IJ Gould,BG Jerling,"Sabina Park, Kingston"
475,2007,2007-03-16,South Africa,normal,221,,HH Gibbs,Netherlands,South Africa,Netherlands,field,MR Benson,AL Hill,"Warner Park, Basseterre"
476,2007,2007-03-16,New Zealand,normal,,6,SB Styris,England,New Zealand,New Zealand,field,Asad Rauf,RE Koertzen,"Beausejour Stadium, Gros Islet"
477,2007,2007-03-17,Bangladesh,normal,,5,Mashrafe Mortaza,Bangladesh,India,India,bat,Aleem Dar,SJ Davis,"Queen's Park Oval, Port of Spain"
478,2007,2007-03-17,Ireland,normal,,3,NJ O'Brien,Ireland,Pakistan,Ireland,field,BF Bowden,BG Jerling,"Sabina Park, Kingston"
479,2007,2007-03-18,Australia,normal,229,,BJ Hodge,Australia,Netherlands,Australia,bat,SA Bucknor,AL Hill,"Warner Park, Basseterre"
480,2007,2007-03-18,England,normal,51,,PD Collingwood,Canada,England,Canada,field,BR Doctrove,PD Parker,"Beausejour Stadium, Gros Islet"
481,2007,2007-03-19,India,normal,257,,V Sehwag,Bermuda,India,Bermuda,field,Aleem Dar,IL Howell,"Queen's Park Oval, Port of Spain"
482,2007,2007-03-19,West Indies,normal,,6,SC Williams,West Indies,Zimbabwe,West Indies,field,IJ Gould,SJA Taufel,"Sabina Park, Kingston"
483,2007,2007-03-20,South Africa,normal,,7,GC Smith,Scotland,South Africa,South Africa,field,MR Benson,EAR de Silva,"Warner Park, Basseterre"
484,2007,2007-03-20,New Zealand,normal,148,,LRPL Taylor,Kenya,New Zealand,Kenya,field,BR Doctrove,RE Koertzen,"Beausejour Stadium, Gros Islet"
485,2007,2007-03-21,Sri Lanka,normal,198,,ST Jayasuriya,Bangladesh,Sri Lanka,Bangladesh,field,SJ Davis,DJ Harper,"Queen's Park Oval, Port of Spain"
486,2007,2007-03-21,Pakistan,normal,93,,Imran Nazir,Pakistan,Zimbabwe,Zimbabwe,field,BG Jerling,SJA Taufel,"Sabina Park, Kingston"
487,2007,2007-03-22,Netherlands,normal,,8,WF Stelling,Netherlands,Scotland,Netherlands,field,EAR de Silva,AL Hill,"Warner Park, Basseterre"
488,2007,2007-03-22,New Zealand,normal,114,,L Vincent,Canada,New Zealand,Canada,field,Asad Rauf,BR Doctrove,"Beausejour Stadium, Gros Islet"
489,2007,2007-03-23,Sri Lanka,normal,69,,M Muralitharan,India,Sri Lanka,India,field,Aleem Dar,DJ Harper,"Queen's Park Oval, Port of Spain"
490,2007,2007-03-23,West Indies,normal,,8,S Chanderpaul,West Indies,Ireland,Ireland,bat,BF Bowden,IJ Gould,"Sabina Park, Kingston"
491,2007,2007-03-24,Australia,normal,83,,ML Hayden,Australia,South Africa,South Africa,field,MR Benson,SA Bucknor,"Warner Park, Basseterre"
492,2007,2007-03-24,England,normal,,7,EC Joyce,England,Kenya,Kenya,bat,RE Koertzen,PD Parker,"Beausejour Stadium, Gros Islet"
493,2007,2007-03-25,Bangladesh,normal,,7,Mohammad Ashraful,Bangladesh,Bermuda,Bangladesh,field,SJ Davis,IL Howell,"Queen's Park Oval, Port of Spain"
494,2007,2007-03-27,Australia,normal,103,,ML Hayden,West Indies,Australia,West Indies,field,Aleem Dar,Asad Rauf,"Sir Vivian Richards Stadium, North Sound"
495,2007,2007-03-28,South Africa,normal,,1,CK Langeveldt,South Africa,Sri Lanka,Sri Lanka,bat,SA Bucknor,DJ Harper,Providence Stadium
496,2007,2007-03-29,New Zealand,normal,,7,JDP Oram,West Indies,New Zealand,New Zealand,field,Asad Rauf,RE Koertzen,"Sir Vivian Richards Stadium, North Sound"
497,2007,2007-03-30,England,normal,48,,PD Collingwood,England,Ireland,England,bat,BR Doctrove,SJA Taufel,Providence Stadium
498,2007,2007-03-31,Australia,normal,,10,GD McGrath,Australia,Bangladesh,Australia,field,Aleem Dar,BF Bowden,"Sir Vivian Richards Stadium, North Sound"
499,2007,2007-04-01,Sri Lanka,normal,113,,ST Jayasuriya,West Indies,Sri Lanka,West Indies,field,MR Benson,DJ Harper,Providence Stadium
500,2007,2007-04-02,New Zealand,normal,,9,SE Bond,Bangladesh,New Zealand,New Zealand,field,Aleem Dar,RE Koertzen,"Sir Vivian Richards Stadium, North Sound"
501,2007,2007-04-03,South Africa,normal,,7,JH Kallis,Ireland,South Africa,South Africa,field,DJ Harper,SJA Taufel,Providence Stadium
502,2007,2007-04-04,Sri Lanka,normal,2,,RS Bopara,England,Sri Lanka,England,field,Asad Rauf,BF Bowden,"Sir Vivian Richards Stadium, North Sound"
503,2007,2007-04-07,Bangladesh,normal,67,,Mohammad Ashraful,Bangladesh,South Africa,South Africa,field,MR Benson,BR Doctrove,Providence Stadium
504,2007,2007-04-08,Australia,normal,,7,SW Tait,Australia,England,England,bat,BF Bowden,RE Koertzen,"Sir Vivian Richards Stadium, North Sound"
505,2007,2007-04-09,New Zealand,normal,129,,PG Fulton,Ireland,New Zealand,New Zealand,bat,SA Bucknor,SJA Taufel,Providence Stadium
506,2007,2007-04-10,South Africa,normal,67,,AB de Villiers,West Indies,South Africa,West Indies,field,MR Benson,DJ Harper,"National Cricket Stadium, St George's"
507,2007,2007-04-11,England,normal,,4,SI Mahmood,Bangladesh,England,England,field,SA Bucknor,SJA Taufel,"Kensington Oval, Bridgetown"
508,2007,2007-04-12,Sri Lanka,normal,,6,WPUJC Vaas,New Zealand,Sri Lanka,New Zealand,bat,Asad Rauf,BR Doctrove,"National Cricket Stadium, St George's"
509,2007,2007-04-13,Australia,normal,,9,GD McGrath,Australia,Ireland,Australia,field,BF Bowden,RE Koertzen,"Kensington Oval, Bridgetown"
510,2007,2007-04-14,New Zealand,normal,,5,CD McMillan,New Zealand,South Africa,New Zealand,field,MR Benson,DJ Harper,"National Cricket Stadium, St George's"
511,2007,2007-04-15,Ireland,normal,74,,WTS Porterfield,Bangladesh,Ireland,Ireland,bat,BF Bowden,SA Bucknor,"Kensington Oval, Bridgetown"
512,2007,2007-04-16,Australia,normal,,7,NW Bracken,Australia,Sri Lanka,Sri Lanka,bat,Aleem Dar,BR Doctrove,"National Cricket Stadium, St George's"
513,2007,2007-04-17,South Africa,normal,,9,AJ Hall,England,South Africa,England,bat,SA Bucknor,SJA Taufel,"Kensington Oval, Bridgetown"
514,2007,2007-04-18,Sri Lanka,normal,,8,MF Maharoof,Ireland,Sri Lanka,Sri Lanka,field,MR Benson,BR Doctrove,"National Cricket Stadium, St George's"
515,2007,2007-04-19,West Indies,normal,99,,RR Sarwan,West Indies,Bangladesh,Bangladesh,field,BF Bowden,RE Koertzen,"Kensington Oval, Bridgetown"
516,2007,2007-04-20,Australia,normal,215,,ML Hayden,Australia,New Zealand,Australia,bat,Aleem Dar,Asad Rauf,"National Cricket Stadium, St George's"
517,2007,2007-04-21,England,normal,,1,KP Pietersen,West Indies,England,England,field,RE Koertzen,SJA Taufel,"Kensington Oval, Bridgetown"
518,2007,2007-04-24,Sri Lanka,normal,81,,DPMD Jayawardene,New Zealand,Sri Lanka,Sri Lanka,bat,RE Koertzen,SJA Taufel,"Sabina Park, Kingston"
519,2007,2007-04-25,Australia,normal,,7,GD McGrath,Australia,South Africa,South Africa,bat,Aleem Dar,SA Bucknor,"Beausejour Stadium, Gros Islet"
520,2007,2007-04-28,Australia,normal,53,,AC Gilchrist,Australia,Sri Lanka,Australia,bat,Aleem Dar,SA Bucknor,"Kensington Oval, Bridgetown"
521,2006,2006-08-06,Bangladesh,normal,,8,Shahriar Nafees,Zimbabwe,Bangladesh,Zimbabwe,bat,KC Barbour,IL Howell,Harare Sports Club
522,2006,2006-11-22,South Africa,normal,157,,JH Kallis,South Africa,India,South Africa,bat,BR Doctrove,IL Howell,Kingsmead
523,2006,2006-11-26,South Africa,normal,106,,JM Kemp,South Africa,India,South Africa,bat,BR Doctrove,BG Jerling,Newlands
524,2006,2006-11-29,South Africa,normal,80,,HH Gibbs,South Africa,India,South Africa,bat,BR Doctrove,BG Jerling,St George's Park
525,2006,2006-12-03,South Africa,normal,,9,SM Pollock,South Africa,India,South Africa,field,BR Doctrove,IL Howell,SuperSport Park
526,2007,2007-01-14,Australia,normal,105,,A Symonds,Australia,New Zealand,Australia,bat,Asad Rauf,DJ Harper,Bellerive Oval
527,2007,2007-01-21,Australia,normal,,2,MJ Clarke,Australia,New Zealand,New Zealand,bat,Asad Rauf,SJA Taufel,Sydney Cricket Ground
528,2007,2007-01-28,Australia,normal,8,,RT Ponting,Australia,New Zealand,Australia,bat,Asad Rauf,SJA Taufel,Western Australia Cricket Association Ground
529,2007,2007-02-04,Australia,normal,,5,RT Ponting,Australia,New Zealand,New Zealand,bat,Asad Rauf,SJ Davis,Melbourne Cricket Ground
530,2007,2007-01-12,Australia,normal,,8,AC Gilchrist,Australia,England,England,bat,IL Howell,SJA Taufel,Melbourne Cricket Ground
531,2007,2007-01-19,Australia,normal,,4,MEK Hussey,Australia,England,England,bat,DJ Harper,IL Howell,"Brisbane Cricket Ground, Woolloongabba"
532,2007,2007-01-26,Australia,normal,,9,MG Johnson,Australia,England,England,bat,SJ Davis,IL Howell,Adelaide Oval
533,2007,2007-02-02,England,normal,92,,EC Joyce,Australia,England,England,bat,DJ Harper,IL Howell,Sydney Cricket Ground
534,2007,2007-01-16,England,normal,,3,A Flintoff,England,New Zealand,New Zealand,bat,Asad Rauf,SJ Davis,Bellerive Oval
535,2007,2007-01-23,New Zealand,normal,90,,JDP Oram,England,New Zealand,New Zealand,bat,DJ Harper,IL Howell,Adelaide Oval
536,2007,2007-01-30,New Zealand,normal,58,,L Vincent,England,New Zealand,New Zealand,bat,Asad Rauf,SJ Davis,Western Australia Cricket Association Ground
537,2007,2007-02-06,England,normal,14,,PD Collingwood,England,New Zealand,England,bat,DJ Harper,IL Howell,"Brisbane Cricket Ground, Woolloongabba"
538,2007,2007-02-09,England,normal,,4,PD Collingwood,Australia,England,Australia,bat,Asad Rauf,DJ Harper,Melbourne Cricket Ground
539,2007,2007-02-11,England,normal,34,,NA,Australia,England,England,bat,SJ Davis,IL Howell,Sydney Cricket Ground
540,2006,2006-08-12,Bangladesh,normal,,6,Mashrafe Mortaza,Kenya,Bangladesh,Bangladesh,field,K Hariharan,SR Modi,Gymkhana Club Ground
541,2006,2006-08-13,Bangladesh,normal,,2,Mashrafe Mortaza,Kenya,Bangladesh,Kenya,bat,K Hariharan,SR Modi,Gymkhana Club Ground
542,2006,2006-08-15,Bangladesh,normal,,6,Mashrafe Mortaza,Kenya,Bangladesh,Bangladesh,field,K Hariharan,SR Modi,Gymkhana Club Ground
543,2006,2006-10-07,Sri Lanka,normal,37,,WU Tharanga,Bangladesh,Sri Lanka,Bangladesh,field,SA Bucknor,DJ Harper,"Punjab Cricket Association Stadium, Mohali"
544,2006,2006-10-08,West Indies,normal,,9,CH Gayle,West Indies,Zimbabwe,Zimbabwe,bat,MR Benson,RE Koertzen,"Sardar Patel Stadium, Motera"
545,2006,2006-10-10,Sri Lanka,normal,144,,WU Tharanga,Sri Lanka,Zimbabwe,Sri Lanka,bat,Aleem Dar,Asad Rauf,"Sardar Patel Stadium, Motera"
546,2006,2006-10-11,West Indies,normal,,10,CH Gayle,Bangladesh,West Indies,Bangladesh,bat,BF Bowden,SJA Taufel,Sawai Mansingh Stadium
547,2006,2006-10-13,Bangladesh,normal,101,,Shahriar Nafees,Bangladesh,Zimbabwe,Zimbabwe,field,SA Bucknor,DJ Harper,Sawai Mansingh Stadium
548,2006,2006-10-14,Sri Lanka,normal,,9,MF Maharoof,Sri Lanka,West Indies,West Indies,bat,Asad Rauf,RE Koertzen,Brabourne Stadium
549,2006,2006-10-15,India,normal,,4,MM Patel,India,England,India,field,DJ Harper,SJA Taufel,Sawai Mansingh Stadium
